Location ID,Lead,Arsenic,Benzene,Number of CoCs Above
S1,Above,Above,Below,2
S100,Below,Below,Below,0
S1000,Below,Below,Below,0
S1001,Below,Below,Below,0
S1002,Below,Below,Below,0
S1003,Below,Below,Below,0
S1004,Below,Below,Below,0
S1005,Above,No Sample,No Sample,1
S1006,Above,No Sample,No Sample,1
S1007,Above,No Sample,No Sample,1
S1008,Below,No Sample,No Sample,0
S1009,Above,No Sample,No Sample,1
S101,Below,Below,Below,0
S1010,Below,No Sample,No Sample,0
S1011,Below,No Sample,No Sample,0
S1012,Below,No Sample,No Sample,0
S1013,Above,No Sample,No Sample,1
S1014,Above,No Sample,No Sample,1
S1015,Above,No Sample,No Sample,1
S1016,Above,No Sample,No Sample,1
S1017,Above,No Sample,No Sample,1
S1018,Above,Above,Below,2
S1019,Below,Below,Below,0
S102,Below,Below,Below,0
S1020,Above,Above,Below,2
S1021,Above,Above,No Sample,2
S1022,Below,Below,Below,0
S1023,Below,Below,No Sample,0
S1025,Below,Below,Below,0
S1026,Above,Above,Below,2
S1027,Below,Below,Below,0
S1028,Below,Below,Below,0
S1029,Below,Below,Below,0
S1030,Above,Above,Above,3
S1031,Below,Below,Above,1
S1032,Below,Above,Below,1
S1033,Below,Below,Below,0
S1034,Below,Below,Above,1
S1035,Below,Above,Above,2
S1036,Below,Below,Below,0
S1037,Below,Above,Below,1
S1038,Below,Below,Below,0
S1039,Below,Below,Below,0
S1040,Below,Below,Below,0
S1041,Below,Below,Below,0
S1042,Below,Below,Below,0
S1043,Above,Below,Below,1
S1044,Below,Below,Below,0
S1045,Below,Below,Below,0
S1046,Below,Below,Below,0
S1047,Above,Above,Below,2
S1048,Above,Above,Below,2
S1049,Below,Above,Below,1
S105,Below,No Sample,Above,1
S1050,Above,Above,Below,2
S1051,Below,No Sample,Above,1
S1052,Below,No Sample,Below,0
S1053,Below,Below,Below,0
S1054,Below,Below,Below,0
S1055,Below,Below,Below,0
S1056,Below,Below,Below,0
S1057,Below,Below,Below,0
S1058,Below,Above,Below,1
S1059,Below,Below,Below,0
S106,Below,No Sample,Below,0
S1060,Below,Below,Below,0
S1061,Below,Below,Below,0
S1062,Below,Below,Below,0
S1063,Below,Below,Below,0
S1064,Below,Below,Below,0
S1065,Below,Below,Below,0
S1066,Below,Below,Below,0
S1067,Below,Below,Below,0
S1068,Below,Below,Below,0
S1069,Below,Below,Below,0
S107,Below,No Sample,Below,0
S1070,Below,Below,Below,0
S1071,Below,Above,Above,2
S1072,Above,Above,Below,2
S1073,Below,Below,Below,0
S1074,Below,Below,Above,1
S1075,Below,Above,Above,2
S1076,Above,Above,Below,2
S1077,Below,Above,Below,1
S1078,Below,Below,Below,0
S1079,Below,Below,Below,0
S108,Below,No Sample,Below,0
