Location ID,Start Depth,End Depth,Beginning Sample Date,Latest Sample Date
MW-1,3.72,12,12/4/2002,5/23/2013
MW-10,0,0,4/3/1998,4/3/1998
MW-100,0,0,8/18/1999,8/18/1999
MW-1000,1.98,8,2/20/2007,6/11/2014
MW-1001,6.94,34,2/15/2007,4/30/2013
MW-1002,5.49,10,2/15/2007,6/20/2013
MW-1003,6.55,30,2/15/2007,7/10/2014
MW-1004,5.35,9.5,2/20/2007,5/31/2013
MW-1005,6.19,10,2/26/2007,5/31/2013
MW-1006,9.3,30,2/8/2007,5/31/2013
MW-1007,4.84,10,2/8/2007,8/15/2013
MW-1008,5.18,10,2/8/2007,10/4/2013
MW-1009,,,2/28/2007,3/27/2014
MW-101,0,10,8/18/1999,8/18/1999
MW-1010,,,2/28/2007,3/27/2014
MW-1011,,,3/13/2007,5/28/2014
MW-1012,,,3/6/2007,12/11/2007
MW-1013,,,3/6/2007,7/31/2014
MW-1014,,,3/8/2007,5/29/2014
MW-1015,,,3/8/2007,3/21/2013
MW-1016,,,3/8/2007,2/7/2014
MW-1017,,,3/8/2007,8/20/2013
MW-1018,,,3/6/2007,5/28/2014
MW-1019,,,2/28/2007,10/18/2013
MW-102,0,0,8/19/1999,8/19/1999
MW-1020,,,2/28/2007,3/21/2012
MW-1021,,,2/26/2007,2/24/2014
MW-1022,,,2/26/2007,2/24/2014
MW-1023,,,2/26/2007,9/29/2009
MW-1024,,,3/14/2007,5/28/2014
MW-1025,,,10/1/2007,8/13/2013
MW-1026,,,10/5/2007,6/20/2013
MW-1027,,,10/5/2007,6/20/2013
MW-1028,,,7/26/2011,5/30/2014
MW-1029,,,4/2/2008,1/13/2014
MW-103,4,14,8/19/1999,8/19/1999
MW-1030,,,4/2/2008,1/13/2014
MW-1031,,,4/2/2008,5/29/2013
MW-1032,,,4/2/2008,5/29/2013
MW-1033,,,4/4/2008,5/29/2013
MW-1034,,,4/4/2008,5/29/2013
MW-1035,,,8/4/2008,5/30/2013
MW-1036,,,8/4/2008,5/30/2013
MW-1037,,,5/14/2009,1/14/2014
MW-1038,,,8/5/2008,1/14/2014
MW-1039,,,8/5/2008,5/13/2009
MW-104,0,0,8/20/1999,8/20/1999
MW-1040,,,1/15/2013,1/15/2014
MW-1041,,,8/4/2008,5/3/2012
MW-1042,,,1/21/2013,1/15/2014
MW-1043,,,3/30/2009,9/25/2013
MW-1044,,,3/30/2009,5/23/2013
MW-1045,,,3/30/2009,6/16/2014
MW-1046,,,3/30/2009,5/23/2013
MW-1047,3.48,18,3/20/2002,4/1/2014
MW-1048,,,1/21/2013,1/15/2014
MW-1049,,,12/13/2011,7/22/2013
MW-105,0,0,8/20/1999,8/20/1999
MW-1050,,,10/7/2010,2/7/2014
MW-1051,,,10/7/2010,10/1/2013
MW-1052,,,6/24/2010,3/28/2014
MW-1053,,,6/24/2010,3/21/2012
MW-1055,,,1/15/2013,1/15/2014
MW-1056,,,1/22/2013,1/16/2014
MW-1057,,,1/7/2013,5/16/2013
MW-1058,,,1/15/2014,1/15/2014
MW-1059,,,1/17/2013,5/14/2013
MW-106,0,0,8/20/1999,8/20/1999
MW-1060,,,1/7/2013,1/14/2014
MW-1061,,,3/14/2012,5/19/2014
MW-1062,,,3/14/2012,3/12/2014
MW-1063,,,3/12/2012,5/21/2014
MW-1064,,,3/12/2012,5/21/2014
MW-1065,,,3/12/2012,3/10/2014
MW-1066,,,3/13/2012,3/11/2014
MW-1067,,,3/20/2012,8/1/2014
MW-1068,,,4/23/2012,7/9/2014
MW-1069,,,1/17/2013,1/17/2014
MW-107,0,0,8/20/1999,8/20/1999
MW-1070,,,1/4/2013,1/16/2014
MW-1071,,,1/7/2013,1/15/2014
MW-1072,,,5/16/2012,5/22/2014
MW-1073,,,5/17/2012,5/22/2014
MW-1074,,,10/18/2012,6/20/2014
MW-1075,,,4/17/2013,7/29/2014
MW-1076,,,4/16/2013,7/30/2014
MW-1077,,,5/6/2013,7/31/2014
MW-1078,,,4/29/2013,8/1/2014
MW-1079,,,4/29/2013,8/5/2014
MW-108,0,0,8/20/1999,8/20/1999
MW-1080,,,1/21/2013,1/15/2014
MW-1081,,,1/22/2013,1/16/2014
