Field Sample ID,Location ID,Date Sampled,Parameter Name,Report Result,Report Units,Lab Qualifier,Detected,Sample Matrix,Sample Purpose,Sample Type,Filtered,Leached,Start Depth,End Depth,Elevation
S1S-C,S1,9/19/1995,Arsenic,35.1,mg/kg,,Y,SOIL,REG,SB,N,N,0,8,5.851529598
S2S-C,S2,9/19/1995,Arsenic,5.6,mg/kg,,Y,SOIL,REG,SB,N,N,0,16,3.773659229
S4S-B,S4,12/2/1994,Arsenic,1.9,mg/kg,,Y,SOIL,REG,PE,N,N,2,2,4.044458389
S5S-B,S5,12/2/1994,Arsenic,4.1,mg/kg,,Y,SOIL,REG,PE,N,N,2,2,6.215970039
S6S-B,S6,12/2/1994,Arsenic,11,mg/kg,,Y,SOIL,REG,PE,N,N,2,2,6.363602638
S60,S60,12/9/2003,Arsenic,4.52,mg/kg,,Y,SOIL,REG,PE,N,N,0,0,4.134046555
S61,S61,12/9/2003,Arsenic,3.48,mg/kg,,Y,SOIL,REG,PE,N,N,0,0,4.937520981
S62,S62,12/9/2003,Arsenic,3.74,mg/kg,,Y,SOIL,REG,PE,N,N,0,0,3.771569014
S63,S63,12/9/2003,Arsenic,18.5,mg/kg,,Y,SOIL,REG,PE,N,N,0,0,6.302015781
S64,S64,12/9/2003,Arsenic,9.02,mg/kg,,Y,SOIL,REG,PE,N,N,0,0,6.262428284
S65,S65,12/9/2003,Arsenic,6.16,mg/kg,,Y,SOIL,REG,PE,N,N,0,0,7.129872799
S66,S66,12/9/2003,Arsenic,9.75,mg/kg,,Y,SOIL,REG,PE,N,N,0,0,6.184072495
S67,S67,12/9/2003,Arsenic,2.67,mg/kg,,Y,SOIL,REG,PE,N,N,0,0,3.215294838
S68,S68,12/9/2003,Arsenic,13,mg/kg,,Y,SOIL,REG,PE,N,N,0,0,5.883369923
S69,S69,12/9/2003,Arsenic,31.2,mg/kg,,Y,SOIL,REG,PE,N,N,0,0,4.865972519
S70,S70,12/9/2003,Arsenic,52,mg/kg,,Y,SOIL,REG,PE,N,N,0,0,2.757413626
S71,S71,12/12/2003,Arsenic,22.1,mg/kg,,Y,SOIL,REG,PE,N,N,0,0,5.837516785
S72,S72,12/12/2003,Arsenic,4.98,mg/kg,,Y,SOIL,REG,PE,N,N,0,0,6.621931076
S73,S73,12/12/2003,Arsenic,4.86,mg/kg,,Y,SOIL,REG,PE,N,N,0,0,4.354041576
S74,S74,12/12/2003,Arsenic,2.32,mg/kg,,Y,SOIL,REG,PE,N,N,0,0,4.06522274
S75,S75,12/12/2003,Arsenic,13.8,mg/kg,,Y,SOIL,REG,PE,N,N,0,0,6.051947594
S76,S76,12/12/2003,Arsenic,2.08,mg/kg,,Y,SOIL,REG,PE,N,N,0,0,4.008710861
S77,S77,12/12/2003,Arsenic,3.04,mg/kg,,Y,SOIL,REG,PE,N,N,0,0,7.523334503
S78,S78,12/12/2003,Arsenic,6.77,mg/kg,,Y,SOIL,REG,PE,N,N,0,0,4.903700829
S79,S79,12/12/2003,Arsenic,11.7,mg/kg,,Y,SOIL,REG,PE,N,N,0,0,5.114903927
S80,S80,12/12/2003,Arsenic,5.09,mg/kg,,Y,SOIL,REG,PE,N,N,0,0,4.511619091
S81,S81,12/12/2003,Arsenic,3.45,mg/kg,,Y,SOIL,REG,PE,N,N,0,0,6.015423775
S82,S82,1/13/2004,Arsenic,5.03,mg/kg,,Y,SOIL,REG,PE,N,N,0,0,6.625777245
S83,S83,1/13/2004,Arsenic,16.1,mg/kg,,Y,SOIL,REG,PE,N,N,0,0,6.138711929
S84,S84,1/13/2004,Arsenic,3.38,mg/kg,,Y,SOIL,REG,PE,N,N,0,0,4.754290104
S85,S85,1/13/2004,Arsenic,6.03,mg/kg,,Y,SOIL,REG,PE,N,N,0,0,4.956238747
S86,S86,1/13/2004,Arsenic,1.23,mg/kg,,Y,SOIL,REG,PE,N,N,0,0,3.473094225
S87,S87,1/13/2004,Arsenic,1.35,mg/kg,,Y,SOIL,REG,PE,N,N,0,0,5.738077641
S88,S88,1/13/2004,Arsenic,7.47,mg/kg,,Y,SOIL,REG,PE,N,N,0,0,6.345807552
S89,S89,1/13/2004,Arsenic,9.17,mg/kg,,Y,SOIL,REG,PE,N,N,0,0,5.481221676
S90,S90,1/13/2004,Arsenic,2.95,mg/kg,,Y,SOIL,REG,PE,N,N,0,0,4.286190033
S91,S91,1/13/2004,Arsenic,4.54,mg/kg,,Y,SOIL,REG,PE,N,N,0,0,3.950100422
S92,S92,1/13/2004,Arsenic,6.08,mg/kg,,Y,SOIL,REG,PE,N,N,0,0,4.314522743
S93,S93,1/13/2004,Arsenic,6.35,mg/kg,,Y,SOIL,REG,PE,N,N,0,0,5.986171246
S94,S94,1/13/2004,Arsenic,1.9,mg/kg,,Y,SOIL,REG,PE,N,N,0,0,6.048177242
S95,S95,1/13/2004,Arsenic,6.88,mg/kg,,Y,SOIL,REG,PE,N,N,0,0,7.943164825
S96,S96,1/13/2004,Arsenic,3.61,mg/kg,,Y,SOIL,REG,PE,N,N,0,0,5.107412338
S97,S97,1/13/2004,Arsenic,1.03,mg/kg,J,Y,SOIL,REG,PE,N,N,0,0,5.90943861
S98,S98,1/13/2004,Arsenic,3.22,mg/kg,,Y,SOIL,REG,PE,N,N,0,0,6.457477093
S99,S99,1/13/2004,Arsenic,3.95,mg/kg,,Y,SOIL,REG,PE,N,N,0,0,3.75276947
S100,S100,1/13/2004,Arsenic,2.21,mg/kg,,Y,SOIL,REG,PE,N,N,0,0,4.89972496
S101,S101,1/13/2004,Arsenic,1.88,mg/kg,,Y,SOIL,REG,PE,N,N,0,0,4.112252712
S102,S102,1/13/2004,Arsenic,2.39,mg/kg,,Y,SOIL,REG,PE,N,N,0,0,4.538598537
S109D2,S109,2/8/1999,Arsenic,2.85,mg/kg,,Y,SOIL,REG,SB,N,N,6.5,7,5.402130604
S112B3,S112,7/20/1999,Arsenic,0.842,mg/kg,,Y,SOIL,REG,SB,N,N,3,3.5,6.819290638
S113A1,S113,7/21/1999,Arsenic,12.2,mg/kg,,Y,SOIL,REG,SB,N,N,0,0.5,4.177983284
S114A4,S114,7/27/1999,Arsenic,7.44,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,5.845816612
S115A3,S115,8/6/1999,Arsenic,6.21,mg/kg,,Y,SOIL,REG,SB,N,N,1,1.5,5.044594288
S116B4,S116,8/6/1999,Arsenic,14.9,mg/kg,,Y,SOIL,REG,SB,N,N,3.5,4,5.052139282
S117B4,S117,8/6/1999,Arsenic,12.1,mg/kg,,Y,SOIL,REG,SB,N,N,3.5,4,6.600160599
S118A2,S118,8/13/1999,Arsenic,5.1,mg/kg,,Y,SOIL,REG,SB,N,N,0.5,1,6.203569412
S119B2,S119,8/13/1999,Arsenic,10.6,mg/kg,,Y,SOIL,REG,SB,N,N,2.5,3,5.5700984
S120B2,S120,8/13/1999,Arsenic,14.6,mg/kg,,Y,SOIL,REG,SB,N,N,2.5,3,6.184504509
S121B2,S121,8/13/1999,Arsenic,8.51,mg/kg,,Y,SOIL,REG,SB,N,N,2.5,3,7.725152969
S122B4,S122,9/1/1999,Arsenic,8.17,mg/kg,,Y,SOIL,REG,SB,N,N,3.5,4,3.925317049
S123B1,S123,9/10/1999,Arsenic,29.2,mg/kg,,Y,SOIL,REG,SB,N,N,2,2.5,5.480666161
S124B1,S124,9/10/1999,Arsenic,29.4,mg/kg,,Y,SOIL,REG,SB,N,N,2,2.5,5.808336735
S125B2,S125,9/10/1999,Arsenic,45.8,mg/kg,,Y,SOIL,REG,SB,N,N,2.5,3,4.522551537
S126B2,S126,9/10/1999,Arsenic,48.4,mg/kg,,Y,SOIL,REG,SB,N,N,2.5,3,4.843253613
S127B4,S127,10/14/1999,Arsenic,69.9,mg/kg,,Y,SOIL,REG,SB,N,N,3.5,4,5.592160702
S128B3,S128,10/14/1999,Arsenic,30.3,mg/kg,,Y,SOIL,REG,SB,N,N,3,3.5,5.927539825
S129B4,S129,10/14/1999,Arsenic,24.4,mg/kg,,Y,SOIL,REG,SB,N,N,3.5,4,4.570232868
S130B4,S130,10/14/1999,Arsenic,47,mg/kg,,Y,SOIL,REG,SB,N,N,3.5,4,4.448321819
S131B4,S131,10/14/1999,Arsenic,16.9,mg/kg,,Y,SOIL,REG,SB,N,N,3.5,4,3.933353901
S1325B2,S132,10/22/1999,Arsenic,1.12,mg/kg,,Y,SOIL,REG,SB,N,N,2.5,3,2.741771698
S171G2,S171,7/24/2002,Arsenic,16.5,mg/kg,,Y,SOIL,REG,SB,N,N,12.5,13,6.529593468
